listing_id,year_month,reviews
1692573,2017-02-01,1
1692573,2017-03-01,1
1692573,2017-04-01,3
1692573,2017-05-01,2
1692573,2017-06-01,6
1692573,2017-07-01,3
1692573,2017-08-01,7
1692573,2017-09-01,4
1692573,2017-10-01,5
1692573,2017-11-01,2
1692573,2018-01-01,1
1692573,2018-03-01,2
1692573,2018-04-01,2
1692573,2018-05-01,3
1692573,2018-06-01,2
1692573,2018-07-01,6
1692573,2018-08-01,6
1692573,2018-09-01,3
1692573,2018-10-01,5
1692573,2018-11-01,3
1692573,2019-03-01,1
1692573,2019-04-01,1
1692573,2019-05-01,7
1692573,2019-06-01,4
1692573,2019-07-01,5
1692573,2019-08-01,3
1692573,2019-09-01,4
1692573,2019-10-01,3
1692573,2019-11-01,1
